subject,is_mw,n,skip_rate,importance,zipf,length,surprisal
21,1,550,0.3690909090909091,0.02843514430516314,0.48874944989423774,-0.4763560994307292,-0.3780355316973415
22,0,10087,0.3390502627143849,0.017716701884203934,0.3656714094119855,-0.39923885384678137,-0.2980333456015464
22,1,363,0.2369146005509642,-0.02934262446478042,0.4257409117622366,-0.4419444211233313,-0.32514212360168715
23,0,9196,0.5514354066985646,-0.09266658300616104,0.21049810269924651,-0.25726236532152524,-0.141358533435876
23,1,1010,0.31485148514851485,-0.0046397280692187515,0.2979332533536918,-0.37478187370487515,-0.27577411194045454
24,0,9179,0.4685695609543523,-0.0630667524996571,0.3138220570766508,-0.3122824206619188,-0.20837218316117812
24,1,735,0.2693877551020408,0.037196922671782984,0.42947162500235136,-0.5041852416154092,-0.33643617021276595
25,0,9530,0.5279118572927597,0.012269030919170199,0.3068035304914818,-0.329059762789222,-0.2698150291563872
25,1,790,0.25063291139240507,0.05172502047502037,0.6192925880425881,-0.5930333742833742,-0.47167434803767216
26,0,8796,0.5569577080491133,-0.05209769025356592,0.22503600180667704,-0.24247746485682586,-0.18193738399752624
26,1,868,0.44930875576036866,0.03907306083038309,0.26532024460894754,-0.27792082394592854,-0.20477890289211043
27,0,10269,0.44493134677183754,0.017255570530616327,0.3191542546451487,-0.356361981776503,-0.22606793953623894
27,1,347,0.37752161383285304,0.13121996041843365,0.41825699745547085,-0.3630901894260673,-0.3531753554502369
28,0,9170,0.4633587786259542,0.0029628880008536473,0.41615271346105853,-0.4620232911347849,-0.28959968623701415
28,1,1494,0.4538152610441767,-0.0039602492914569964,0.40493774943605754,-0.49818706981317595,-0.359961978421942
29,0,10601,0.4679747193660975,-0.0026981019326633993,0.25758633654562324,-0.3265201908217429,-0.19009432037777163
30,0,10060,0.44761431411530817,0.015756875897143585,0.3255528246200292,-0.3466222166647065,-0.2339407249578388
30,1,577,0.3587521663778163,-0.10403446925186055,0.46132654393523964,-0.43093093093093093,-0.3387849441916938
31,0,10551,0.24405269642687896,-0.017108266547214424,0.2575613734407105,-0.30395195294621724,-0.22460442064014985
31,1,275,0.14181818181818182,0.023359408952629224,0.44111255975662744,-0.5267275097783573,-0.48525798525798525
32,0,7895,0.5526282457251425,-1.2394455693898188e-05,0.1408659740134337,-0.16561951902243954,-0.08893702013380222
32,1,2146,0.559645852749301,0.024834683619030073,0.10392045429514196,-0.15073153324610444,-0.10199513695431639
