subject,is_mw,n,importance,zipf,length,surprisal
26,0,3861,0.011197407976456466,-0.08988555410120527,0.1022718043630261,0.053423532387085214
26,1,490,-0.0073021213451652965,-0.12102880157509793,0.19272378527923317,-0.018733389768601637
27,0,5679,0.010981636910765502,-0.09703915655138115,0.10936897292714001,0.03410149890291432
28,0,4897,0.026483401146625462,-0.0603165384988367,0.07741229694485276,0.04236048320707739
28,1,818,-0.03786553110311167,-0.06284860354032792,0.06224973675327618,0.059568672960228074
29,0,5427,-0.015057203268290995,-0.053097204058503676,0.131123006277629,0.012376478391996511
30,0,5536,0.01077108691545655,-0.07422196898245063,0.09735205729124664,0.042830347787274826
30,1,387,-0.06612359747862226,-0.07206129104309593,0.10442040666652429,0.012475077762599823
31,0,7949,0.001245269104613954,-0.0873697790073419,0.09016134171104802,0.09206660191083033
32,0,3410,-0.0034978973804062155,-0.09555665200492512,0.11591257122719442,0.021734256694885386
32,1,1027,-0.04054528550956557,-0.08700954712039947,0.13777358977970755,0.026976567014267972
33,0,2175,0.04292286424513702,-0.13584883918839927,0.09925568881673606,0.04651512319185703
33,1,361,-0.0800722668744587,-0.12615395341948643,0.04535510614388839,0.0858012992615133
34,0,7353,-0.0044541397677385275,-0.11392806382816272,0.1973143291351625,0.09325967530164316
34,1,466,0.027057896388685155,-0.13070078963625276,0.2600582527326149,0.09944998289419701
35,0,7309,0.004820935300160041,-0.07990593125960213,0.0690468576971267,0.06457901771900827
36,0,5551,-0.010587859265470873,-0.13920777760359995,0.13042163589273892,0.02085762281807004
37,0,5871,-0.009062264697751196,-0.11845586963681067,0.12323701325019266,0.03738523034788699
38,0,4401,0.019214035703362612,-0.0860352910565313,0.20127695763712228,0.044054300303936575
38,1,824,0.11474290846600144,-0.07228215821727942,0.23604164707459274,0.08493886963319182
39,0,3799,-0.0032561517367944493,-0.1433503831211462,0.11710982248783414,0.03902686390780825
39,1,498,0.07450392795209368,-0.15163405447757747,0.14418965853138008,0.05373355941651367
40,0,6895,0.007549897179489973,-0.05774865901845927,0.08140640072046301,0.06023974960470085
41,0,5389,-0.011576656411786623,-0.08921337758443915,0.1349309666291059,0.024149857399381913
42,0,5757,0.004808191993254493,-0.12760568179912837,0.09702783910139881,0.0378397576010435
42,1,319,0.04010338274880835,-0.12251308355966435,0.15650215795873954,-0.00582366058652252
43,0,5224,0.0032757863916870883,-0.03564390726896744,0.08373257370414762,0.036062565803710256
