subject,is_mw,n,importance,zipf,length,surprisal
30,0,5536,0.011327447649331733,1.9454798510304046e-17,1.6337040130770025e-17,0.04431644909482539
30,1,387,0.10675547839720363,-1.7825962098509651,2.978022312124399,0.08418657252954802
31,0,7949,0.0031374920567885964,-2.7018563926739395e-16,-6.851797280465279e-18,0.09107035216678945
31,1,245,0.36809745691953366,2.5555893982567983e-15,-4.243424218166043e-15,0.0551832659445759
32,0,3410,-0.004968603053832358,1.8114620104369312e-15,3.3641308668903256e-16,0.03457542574130824
32,1,1027,-0.09869738126397397,-4.538873034204355e-16,6.953188738009321e-16,0.16647641815287936
33,0,2175,0.06986764847104367,6.9462175115945e-17,2.624712967489598e-16,0.07237561217962332
33,1,361,-0.20897908100506082,-0.033933008814985816,0.1509413006691424,0.18800876116620643
34,0,7353,0.008043277642118677,2.4958162720590325e-16,-6.163523491108105e-17,0.10211142572584336
34,1,466,0.046388661448864436,8.621163318564667e-15,3.7057632505659985e-16,0.08079035152252124
35,0,7309,-0.0019887358118501753,-9.426558816121575e-16,-5.145729344055894e-17,0.06424012391881152
36,0,5551,-0.011155954558027812,3.89183596265522e-17,1.8652165087411357e-16,0.02754109829464727
36,1,235,-0.2226370612244145,-0.4576593351537238,-5.396326557787326,0.12635163676868755
37,0,5871,-0.004467941922381268,3.636379584222882e-16,8.493835033544582e-16,0.0429560223638611
37,1,228,0.34289801962284117,-0.09050384532748447,-1.3483528306662342,-0.28472551604570945
38,0,4401,0.015581805032720953,1.474017699908194e-16,-4.305945779075064e-16,0.05954153114555
38,1,824,0.1243151941365133,-4.582508263163257e-17,-1.3879455328427405e-16,0.06087169334728931
39,0,3799,0.008704491565069037,9.308045879185071e-16,-3.93479847163606e-16,0.021737536262912537
39,1,498,0.08409227880440079,0.35827328453406954,-0.00040785139338579435,0.16975154579131538
40,0,6895,0.008450682520429666,2.353659299013345e-16,-8.21697790454117e-17,0.06000492657997308
41,0,5389,-0.008183889749394324,1.027789271127796e-16,-1.1432879128228497e-16,0.05121394606683721
42,0,5757,0.0062051588395246595,-6.301285601115877e-16,4.2852056047984546e-16,0.02405952295205023
42,1,319,-0.007042509595453814,-0.9696113264287104,-1.2784998343180425,-0.054384283373606915
43,0,5224,0.01604492151251411,-1.4368847836850608e-16,-3.5213869806680645e-16,0.03347361348961832
