subject,n_on,skiprate_on,zipf_on,length_on,surprisal_on,n_mw,skiprate_mw,zipf_mw,length_mw,surprisal_mw
24,6547,0.25492592026882543,0.5695009766155181,-0.5709377105754281,-0.41526904262753317,671,0.19970193740685543,0.5997943244670503,-0.6721837738680897,-0.4909164186507936
25,6042,0.25537901357166504,0.611208049833786,-0.6286974984143521,-0.49962960491622954,755,0.21589403973509932,0.6993035980766042,-0.67646327308904,-0.5431390944786129
26,4800,0.188125,0.602460193845338,-0.631070383527551,-0.4629934022673653,571,0.1628721541155867,0.6236334188149548,-0.6556890268592253,-0.48550724637681164
27,7986,0.28625093914350114,0.43512501726757846,-0.4839298706082792,-0.31902243984714496,306,0.29411764705882354,0.4530349794238684,-0.43775720164609055,-0.3446790176647997
28,7974,0.38286932530724854,0.4869870251979307,-0.5479582979367488,-0.3405486402884088,1366,0.40263543191800877,0.42816622103386814,-0.5593114973262032,-0.3822161738711233
30,7193,0.22744334769915195,0.6116791174636893,-0.6317929587695952,-0.4502523694875009,466,0.20600858369098712,0.6773085585585585,-0.6296452702702703,-0.5204488319332884
31,9143,0.12763863064639616,0.4785520872815534,-0.5667982954862875,-0.4209651910107377,268,0.11940298507462686,0.4900688559322033,-0.614936440677966,-0.5143695014662757
32,4114,0.14146815751093825,0.42708734671321213,-0.5318944515144792,-0.34308844002516803,1080,0.125,0.3338585145992554,-0.45585733882030177,-0.3234056843891403
33,2910,0.247766323024055,0.7155598950495765,-0.7102021265069516,-0.5017956750426611,429,0.1864801864801865,0.7475286532951289,-0.7640759312320917,-0.508108108108108
34,8570,0.1340723453908985,0.6156655148768069,-0.6714129181307392,-0.4559634330868645,488,0.08811475409836066,0.5874575385419389,-0.7413639926835642,-0.573002421307506
36,7318,0.22984421973216726,0.5047365163139288,-0.5423420359519954,-0.3538288342725391,255,0.18823529411764706,0.4781602254428341,-0.39553140096618356,-0.32943067033976126
37,7837,0.2433329080005104,0.4514196830528514,-0.5027273265885603,-0.33639413715330935,247,0.19838056680161945,0.5174190888476602,-0.4658833230261802,-0.2712765957446809
38,5328,0.15746996996996998,0.48353689896451946,-0.544912726673147,-0.36615474527606406,848,0.1214622641509434,0.4978692904150648,-0.5343194109597966,-0.38682987645925426
39,4743,0.1935483870967742,0.5623646175972203,-0.6401760006834978,-0.404086415198987,582,0.18041237113402062,0.57602076470001,-0.6871318758111211,-0.43821428571428567
42,7277,0.2054418029407723,0.550764626467332,-0.6002731345925366,-0.3980039733705234,385,0.21038961038961038,0.5171783625730995,-0.6371426250812215,-0.3902097902097902
43,7739,0.32071327044837833,0.4020635085838504,-0.4958823176863909,-0.3161772974523992,188,0.26595744680851063,0.34478260869565225,-0.46608695652173915,-0.2509881422924901
