subject,bin,n,skiprate,zipf,length,surprisal
25,first third,212,0.20754716981132076,0.7934253246753247,-0.7663690476190477,-0.6345086271567892
25,middle third,197,0.25380710659898476,0.6058503401360544,-0.6214965986394558,-0.5700475678993402
25,last third,176,0.22727272727272727,0.7648897058823529,-0.6847426470588236,-0.47528205128205125
26,first third,183,0.16939890710382513,0.6339134125636672,-0.640704584040747,-0.4846715328467154
26,middle third,119,0.20168067226890757,0.5557017543859648,-0.6855263157894738,-0.6207865168539326
26,last third,105,0.13333333333333333,,,
27,first third,87,0.3333333333333333,0.4785969084423305,-0.41141498216409034,-0.3805418719211823
27,middle third,75,0.26666666666666666,0.4009090909090909,-0.5818181818181818,-0.3716981132075472
27,last third,67,0.23880597014925373,,,
28,first third,461,0.3557483731019523,0.45635213927896845,-0.5585324792641866,-0.3960809508512688
28,middle third,477,0.4088050314465409,0.39856337515911977,-0.5291325695581015,-0.3687963845930594
28,last third,401,0.45885286783042395,0.44029252654778595,-0.6045632137848127,-0.39098039215686275
30,first third,145,0.19310344827586207,0.7084859584859584,-0.612942612942613,-0.6244897959183673
30,middle third,122,0.26229508196721313,0.5895833333333333,-0.634375,-0.5234604105571847
30,last third,106,0.18867924528301888,0.786046511627907,-0.719186046511628,-0.6268292682926829
32,first third,362,0.12430939226519337,0.3582895198037155,-0.4479495268138801,-0.26383333333333336
32,middle third,279,0.10752688172043011,0.46506024096385534,-0.5536813922356091,-0.4980020719254107
32,last third,224,0.16517857142857142,0.27532880474056953,-0.3686948981066628,-0.23477715003138733
33,first third,90,0.18888888888888888,,,
34,first third,120,0.06666666666666667,,,
34,middle third,122,0.10655737704918032,,,
34,last third,124,0.10483870967741936,,,
38,first third,225,0.13333333333333333,0.4588034188034189,-0.6141880341880341,-0.24644457432300804
38,middle third,213,0.14084507042253522,0.514207650273224,-0.5504553734061931,-0.5510357815442561
38,last third,194,0.10824742268041238,0.4720616570327554,-0.46793283787503437,-0.4493506493506494
39,first third,120,0.18333333333333332,0.5955473098330242,-0.5950834879406308,-0.4093211752786221
39,middle third,109,0.1559633027522936,,,
39,last third,115,0.20869565217391303,0.4097985347985349,-0.6767399267399268,-0.21139430284857574
43,first third,68,0.3088235294117647,0.2857142857142858,-0.47821681864235055,
43,middle third,62,0.25806451612903225,,,
